policy,seed,revenue,remain,mean_price,mean_sl,weekend,peak_month,is_soft,month,load
myopic,27,1150411.8021912265,410.82899203831585,91.99999988079071,11647.058823145926,1,1,0,12,0.9589171007961684
myopic,28,1221628.996737536,384.8895071054794,91.99999988079071,12329.411764163524,0,1,0,12,0.9615110492894521
myopic,29,1206192.6733309801,474.3773193221059,91.99999988079071,12305.882352404296,0,1,0,12,0.9525622680677894
rl_best,0,1095497.5366465102,612.5788913629367,84.56775395870208,12255.951404571533,0,1,0,12,0.9387421108637063
rl_best,1,846813.5268370619,2742.6643753047374,83.02375077009201,12531.349030137062,0,0,1,6,0.7257335624695262
rl_best,2,857042.6169734035,2391.107640019074,83.13851041793824,12496.178622543812,0,0,1,6,0.7608892359980926
rl_best,3,858442.991078601,2388.723568389424,83.0901212334633,12497.225011885166,0,0,1,6,0.7611276431610576
rl_best,4,1442207.4201180066,240.75579528827984,109.53667914867401,12910.351198911667,1,1,0,12,0.975924420471172
rl_best,5,849761.4076337303,2787.91073203846,83.82921491861343,13234.561483561993,0,0,1,6,0.721208926796154
rl_best,6,1393755.3250914274,505.4443368359989,108.8073789358139,13431.785123050213,1,0,0,6,0.9494555663164002
rl_best,7,1455758.9589577538,295.9632805433048,109.6801622390747,12939.63072001934,1,1,0,12,0.9704036719456696
rl_best,8,1105242.2492616216,485.3494592093284,84.8343264222145,11745.35860568285,0,1,0,12,0.9514650540790671
rl_best,9,896765.8146759942,2359.406097622271,84.31374387741089,13031.392638385296,0,0,1,6,0.7640593902377729
rl_best,10,1072481.2311033756,684.6020359843787,83.13605126142502,12309.180501103401,0,1,0,12,0.9315397964015621
rl_best,11,854790.1822561182,2638.668464220509,83.66766263246537,12076.19251459837,0,0,1,6,0.7361331535779491
rl_best,12,1082655.8023755418,799.7570786464184,83.13767664432525,12300.339122116566,0,1,0,12,0.9200242921353582
rl_best,13,1378463.053405562,127.59796815423579,103.85868135690689,11706.837831437588,1,1,0,12,0.9872402031845764
rl_best,14,854735.1183192782,2615.8317694911666,83.67014607191086,12083.65833312273,0,0,1,6,0.7384168230508834
rl_best,15,1117462.1239735617,571.393970884892,84.85094130039215,11791.303186118603,0,1,0,12,0.9428606029115107
rl_best,16,857392.3668128032,2791.6465449067355,83.85992141962052,13221.311071515083,0,0,1,6,0.7208353455093264
rl_best,17,896577.2403028243,2254.473094883585,84.39407908916473,13032.092136144638,0,0,1,6,0.7745526905116416
rl_best,18,1376123.4637169575,-37.28282195529755,103.86976523399353,11730.521415174007,1,1,0,12,1.0037282821955298
rl_best,19,900426.851906435,2415.945348588325,84.38572369813919,13027.37413495779,0,0,1,6,0.7584054651411675
rl_best,20,1376780.5219182812,980.1308648260092,114.55487713813781,13710.778012871742,1,0,0,6,0.9019869135173991
rl_best,21,848029.0724399323,2873.314880994749,83.63490816354752,12121.036256849766,0,0,1,6,0.7126685119005252
rl_best,22,1436053.4845637756,194.97457133677563,109.56914464235305,12878.290398418903,1,1,0,12,0.9805025428663224
rl_best,23,1387230.4662158065,740.3249459949329,114.50495479106903,13604.854725301266,1,0,0,6,0.9259675054005068
