true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,policy
852523.769866984,-16.78288205873963,0.7506366314446055,2493.6336855539457,,10000,2022-06-07,6,1,81.28648573160172,13130.436646938324,100,89.3393639748758,0.5,True,False,16,bc_sac+safe_sl
892308.508932367,26.230791609072327,0.8041095078299118,1958.9049217008824,,10000,2022-06-17,6,4,81.6759972333908,12445.20016014576,100,93.26932573131452,0.3,True,False,17,bc_sac+safe_sl
1463110.246461181,203.40950644611283,0.9686280572602669,313.71942739733095,,10000,2022-12-17,12,5,115.34339972734452,12070.656550861895,100,195.43755580295394,0.0,False,True,18,bc_sac+safe_sl
895989.0803720169,14.362871921940979,0.7873478957325195,2126.5210426748044,,10000,2022-06-03,6,4,81.68626432418823,12444.915573298931,100,93.26932573131452,0.3,True,False,19,bc_sac+safe_sl
1361611.2674616992,136.23085439345908,0.8905064762291631,1094.9352377083687,,10000,2022-06-18,6,5,117.09248900413513,13123.688386194408,100,156.11217061502776,0.0,False,True,20,bc_sac+safe_sl
845809.787538437,-32.17824396479959,0.7304668181936393,2695.331818063607,,10000,2022-06-20,6,0,82.4341193675995,12011.583341658115,100,89.3393639748758,0.27,True,False,21,bc_sac+safe_sl
1405007.982530353,205.08749931113317,0.9788858918604081,211.14108139591917,,10000,2022-12-11,12,6,111.30468119382859,12759.996175207198,100,192.542564800098,0.0,False,True,22,bc_sac+safe_sl
1370234.7333981676,151.74606073008073,0.910578886835978,894.2111316402206,,10000,2022-06-04,6,5,117.22698872089386,12939.365724474192,100,156.11217061502776,0.0,False,True,23,bc_sac+safe_sl
835067.0799780203,-17.737004889297026,0.7517209412505492,2482.7905874945072,,10000,2022-06-16,6,3,81.69015910625458,12556.700472533703,100,89.3393639748758,0.39,True,False,24,bc_sac+safe_sl
1133036.245342761,185.28942768537954,0.9890216481521964,109.78351847803606,,10000,2022-12-28,12,2,84.59945718050002,12708.584239144147,100,127.57061847614774,0.0,False,True,25,bc_sac+safe_sl
857730.0927107836,11.85705914178672,0.7891562326996006,2108.437673003995,,10000,2022-06-29,6,2,81.20881463289261,12574.705323576927,100,89.3393639748758,0.39,True,False,26,bc_sac+safe_sl
1446452.760044105,209.1455077542023,0.9787674407531395,212.32559246860546,,10000,2022-12-24,12,5,115.29715279340743,11992.90911257267,100,195.43755580295394,0.0,False,True,27,bc_sac+safe_sl
1137245.3902686422,180.5269850200683,0.9819211588948001,180.788411051999,,10000,2022-12-14,12,2,84.35165066719055,12738.434848678298,100,127.57061847614774,0.0,False,True,28,bc_sac+safe_sl
1136732.5205278117,187.10171395218137,0.9909978930128769,90.0210698712308,,10000,2022-12-08,12,3,83.98839998245239,12492.570420634001,100,127.68291019733265,0.35,False,True,29,bc_sac+safe_sl
1107388.0912446645,163.682165578739,0.9629361047318802,370.63895268119813,,10000,2022-12-21,12,2,84.26397198438644,12546.488198637962,100,127.57061847614774,0.0,False,True,0,bc_sac+safe_sl_hard
844844.4095944471,-21.025691465395198,0.7458765309248768,2541.234690751232,,10000,2022-06-22,6,2,81.15789881944656,12564.962036907673,100,89.3393639748758,0.44,True,False,1,bc_sac+safe_sl_hard
854386.4657808805,6.06164289569783,0.7816753374213832,2183.246625786168,,10000,2022-06-01,6,2,81.19598355293274,12566.102682054043,100,89.3393639748758,0.39,True,False,2,bc_sac+safe_sl_hard
856115.9960119054,6.0871080649761495,0.7814732992654598,2185.267007345402,,10000,2022-06-08,6,2,81.1827628850937,12583.638989925385,100,89.3393639748758,0.41,True,False,3,bc_sac+safe_sl_hard
1396185.8038934623,196.81273793758396,0.9687591199290928,312.40880070907224,,10000,2022-12-11,12,6,110.84055351018905,12727.840027213097,100,192.542564800098,0.0,False,True,4,bc_sac+safe_sl_hard
844810.7892307098,-18.71640086491223,0.7490445482356395,2509.5545176436053,,10000,2022-06-21,6,1,81.27965186834335,13138.810276985168,100,89.3393639748758,0.5,True,False,5,bc_sac+safe_sl_hard
1392277.7598301398,179.76112628216532,0.9459360963002073,540.6390369979272,,10000,2022-06-12,6,6,113.3769326210022,13583.04787054658,100,154.00250483209075,0.0,False,True,6,bc_sac+safe_sl_hard
1408416.4729416,200.06161186144038,0.9715341980373703,284.65801962629666,,10000,2022-12-11,12,6,111.0588135957718,12824.230889976025,100,192.542564800098,0.0,False,True,7,bc_sac+safe_sl_hard
1065133.506921777,154.47819190028625,0.9561162208330254,438.83779166974637,,10000,2022-12-27,12,1,81.90788660049438,12591.41364954412,100,127.57061847614774,0.45,False,True,8,bc_sac+safe_sl_hard
892614.2498804055,17.58389644789399,0.7922225636436349,2077.7743635636516,,10000,2022-06-03,6,4,81.6628710269928,12451.651334762573,100,93.26932573131452,0.3,True,False,9,bc_sac+safe_sl_hard
1086454.3988149487,154.79689084753397,0.9536321246110124,463.6787538898752,,10000,2022-12-15,12,3,83.35352001190185,12324.18533936143,100,127.68291019733265,0.35,False,True,10,bc_sac+safe_sl_hard
852485.8526876263,-13.637596022663061,0.754950436587088,2450.49563412912,,10000,2022-06-27,6,0,82.49387910366059,12038.346715271473,100,89.3393639748758,0.26,True,False,11,bc_sac+safe_sl_hard
1100265.062767221,155.8919186559026,0.9532402909303842,467.59709069615747,,10000,2022-12-22,12,3,83.42389451265335,12363.468613103032,100,127.68291019733265,0.36,False,True,12,bc_sac+safe_sl_hard
1454451.0445288029,194.6440579184592,0.9578067855692861,421.9321443071385,,10000,2022-12-10,12,5,115.2950623512268,11893.720103055239,100,195.43755580295394,0.0,False,True,13,bc_sac+safe_sl_hard
852520.524652869,-11.931174193178762,0.7572832511527868,2427.1674884721315,,10000,2022-06-20,6,0,82.48911517858505,12034.880581498146,100,89.3393639748758,0.26,True,False,14,bc_sac+safe_sl_hard
1084606.5068448784,154.5237446030837,0.9535110875597204,464.88912440279637,,10000,2022-12-06,12,1,81.7908834695816,12651.18791796267,100,127.57061847614774,0.49,False,True,15,bc_sac+safe_sl_hard
852523.769866984,-16.78288205873963,0.7506366314446055,2493.6336855539457,,10000,2022-06-07,6,1,81.28648573160172,13130.436646938324,100,89.3393639748758,0.5,True,False,16,bc_sac+safe_sl_hard
892308.508932367,26.230791609072327,0.8041095078299118,1958.9049217008824,,10000,2022-06-17,6,4,81.6759972333908,12445.20016014576,100,93.26932573131452,0.3,True,False,17,bc_sac+safe_sl_hard
1443048.2970761189,189.41347555488179,0.952203624448315,477.96375551685014,,10000,2022-12-17,12,5,115.17282609939575,11937.23198696971,100,195.43755580295394,0.0,False,True,18,bc_sac+safe_sl_hard
895989.0803720169,14.362871921940979,0.7873478957325195,2126.5210426748044,,10000,2022-06-03,6,4,81.68626432418823,12444.915573298931,100,93.26932573131452,0.3,True,False,19,bc_sac+safe_sl_hard
1361820.988455689,136.59690007898908,0.8909791797718084,1090.2082022819159,,10000,2022-06-18,6,5,117.06468915939331,13078.100723773241,100,156.11217061502776,0.0,False,True,20,bc_sac+safe_sl_hard
845809.787538437,-32.17824396479959,0.7304668181936393,2695.331818063607,,10000,2022-06-20,6,0,82.4341193675995,12011.583341658115,100,89.3393639748758,0.27,True,False,21,bc_sac+safe_sl_hard
1379824.2428891324,187.86145783451053,0.9587384021172566,412.61597882743445,,10000,2022-12-11,12,6,110.61471965312958,12588.820702582598,100,192.542564800098,0.0,False,True,22,bc_sac+safe_sl_hard
1370557.3550046706,152.26550543077244,0.9112462601785004,887.5373982149958,,10000,2022-06-04,6,5,117.19009993076324,12881.755896657705,100,156.11217061502776,0.0,False,True,23,bc_sac+safe_sl_hard
835067.0799780203,-17.737004889297026,0.7517209412505492,2482.7905874945072,,10000,2022-06-16,6,3,81.69015910625458,12556.700472533703,100,89.3393639748758,0.39,True,False,24,bc_sac+safe_sl_hard
1100344.7091168365,160.24858459118207,0.9591974159993127,408.0258400068724,,10000,2022-12-28,12,2,84.09775346517563,12550.302731245756,100,127.57061847614774,0.0,False,True,25,bc_sac+safe_sl_hard
857730.0927107836,11.85705914178672,0.7891562326996006,2108.437673003995,,10000,2022-06-29,6,2,81.20881463289261,12574.705323576927,100,89.3393639748758,0.39,True,False,26,bc_sac+safe_sl_hard
1417908.9869933089,189.07390299199778,0.9551821976611876,448.1780233881236,,10000,2022-12-24,12,5,114.9572120308876,11863.501264154911,100,195.43755580295394,0.0,False,True,27,bc_sac+safe_sl_hard
1104312.8639654259,154.96518015797875,0.9514162928238852,485.83707176114876,,10000,2022-12-14,12,2,83.91574342250824,12584.259174019098,100,127.57061847614774,0.0,False,True,28,bc_sac+safe_sl_hard
1102614.306235303,162.64048996684366,0.9621630949908402,378.3690500915982,,10000,2022-12-08,12,3,83.6075170636177,12322.752968221903,100,127.68291019733265,0.35,False,True,29,bc_sac+safe_sl_hard
1148904.1669511816,114.78256933029084,1.0002396608107273,-2.3966081072740053,1.0,10000,2022-12-21,12,2,84.82932944297791,12764.129261486232,100,127.57061847614774,0.0,False,True,0,bc_sac+safe_sl_mix0.4
844844.4095944471,-21.025691465395198,0.7458765309248768,2541.234690751232,,10000,2022-06-22,6,2,81.15789881944656,12564.962036907673,100,89.3393639748758,0.44,True,False,1,bc_sac+safe_sl_mix0.4
854386.4657808805,6.06164289569783,0.7816753374213832,2183.246625786168,,10000,2022-06-01,6,2,81.19598355293274,12566.102682054043,100,89.3393639748758,0.39,True,False,2,bc_sac+safe_sl_mix0.4
856115.9960119054,6.0871080649761495,0.7814732992654598,2185.267007345402,,10000,2022-06-08,6,2,81.1827628850937,12583.638989925385,100,89.3393639748758,0.41,True,False,3,bc_sac+safe_sl_mix0.4
1422273.1889817785,213.6936780213307,0.9883100809906203,116.89919009379628,,10000,2022-12-11,12,6,111.55277192592621,12918.347670737421,100,192.542564800098,0.0,False,True,4,bc_sac+safe_sl_mix0.4
844810.7892307098,-18.71640086491223,0.7490445482356395,2509.5545176436053,,10000,2022-06-21,6,1,81.27965186834335,13138.810276985168,100,89.3393639748758,0.5,True,False,5,bc_sac+safe_sl_mix0.4
1390615.8142762925,176.31017787638928,0.941436433491452,585.6356650854796,,10000,2022-06-12,6,6,113.6259834766388,13695.845128595829,100,154.00250483209075,0.0,False,True,6,bc_sac+safe_sl_mix0.4
1432456.727402839,214.99644066521844,0.9886996820889513,113.0031791104866,,10000,2022-12-11,12,6,111.62827560901641,12992.31759479735,100,192.542564800098,0.0,False,True,7,bc_sac+safe_sl_mix0.4
1134353.82703439,103.83523265837837,1.0213336667668014,-213.33666766801434,7.0,10000,2022-12-27,12,1,82.18906004428864,12836.076781898737,100,127.57061847614774,0.51,False,True,8,bc_sac+safe_sl_mix0.4
892614.2498804055,17.58389644789399,0.7922225636436349,2077.7743635636516,,10000,2022-06-03,6,4,81.6628710269928,12451.651334762573,100,93.26932573131452,0.3,True,False,9,bc_sac+safe_sl_mix0.4
1150544.0049384898,111.716569405628,1.007417402418269,-74.1740241826883,4.0,10000,2022-12-15,12,3,84.03739647865295,12560.902594774961,100,127.68291019733265,0.36,False,True,10,bc_sac+safe_sl_mix0.4
