policy,seed,days_prior,dow,month,weekend,peak_month,price,selling_limit,remain,accepted,cum_revenue,base_demand,is_soft
clamp_frozen,0,39,2,12,0,1,96.88335418701172,12740.052342414856,5434.933174134784,142.4502505756021,646897.0915460967,134.1721664575167,0
clamp_frozen,0,38,2,12,0,1,96.88335418701172,12720.695734024048,5330.222922886059,150.88257369606544,661515.1013741405,135.24479254111014,0
clamp_frozen,0,37,2,12,0,1,96.88335418701172,12688.364088535309,5219.734370435777,148.77548908508206,675928.9697775163,135.24479254111014,0
clamp_frozen,0,36,2,12,0,1,96.88335418701172,12648.247182369232,5108.164974489804,149.642096100577,690426.7979753154,135.3776796692217,0
clamp_frozen,0,35,2,12,0,1,96.88335418701172,12638.125717639923,5002.579279971979,150.27024076500683,704985.4829351191,135.3776796692217,0
clamp_frozen,0,34,2,12,0,1,96.88335418701172,12657.227516174316,4891.175507972355,143.83094183420624,718920.307015894,135.3776796692217,0
clamp_frozen,0,33,2,12,0,1,96.88335418701172,12697.79086112976,4784.247764838411,145.8867258471779,733054.3023473296,135.3776796692217,0
clamp_frozen,0,32,2,12,0,1,96.88335418701172,12728.966176509857,4675.624157799723,149.21055241628548,747510.3211455162,137.67563429490323,0
clamp_frozen,0,31,2,12,0,1,96.88335418701172,12740.739583969116,4568.347410025964,151.29310808985457,762168.1049226394,146.59908961842842,0
clamp_frozen,0,30,2,12,0,1,96.88335418701172,12773.133218288422,4457.167743719751,163.26276966056795,777985.5496612168,146.67867998707746,0
clamp_frozen,0,29,2,12,0,1,96.88335418701172,12792.684435844421,4335.86780278181,155.28926520912094,793030.4945439128,149.0471367442043,0
clamp_frozen,0,28,2,12,0,1,96.88335418701172,12855.057716369629,4221.242482371214,150.97295631991972,807657.2609437158,149.0471367442043,0
clamp_frozen,0,27,2,12,0,1,96.88335418701172,12987.146377563477,4107.9965643815885,143.17493458899636,821528.5288422038,149.46787494367135,0
clamp_frozen,0,26,2,12,0,1,96.88335418701172,13107.876479625702,3999.803110609324,159.1007793459139,836942.7459990035,149.46787494367135,0
clamp_frozen,0,25,2,12,0,1,96.88335418701172,13219.860792160034,3882.0467751958495,141.47215237911638,850649.0426455484,154.18295349612166,0
clamp_frozen,0,24,2,12,0,1,96.88335418701172,13285.931646823883,3774.219630299217,159.2036475046427,866073.2260146048,154.86606328959272,0
clamp_frozen,0,23,2,12,0,1,96.88335418701172,13359.292149543762,3654.4224209359527,162.85349895908888,881851.0192348524,155.75897319641388,0
