true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-21,6,1,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,5,True,89.3393639748758,2022-06-21,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-21,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,5,True,89.3393639748758,2022-06-21,best_constant_price,1.0,0.0,80.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,9,True,93.26932573131452,2022-06-03,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-03,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,9,True,93.26932573131452,2022-06-03,myopic_grid_max_sl,1.0,0.0,
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,9,True,93.26932573131452,2022-06-03,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-27,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,11,True,89.3393639748758,2022-06-27,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-27,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,11,True,89.3393639748758,2022-06-27,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-27,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,11,True,89.3393639748758,2022-06-27,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,14,True,89.3393639748758,2022-06-20,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-20,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,14,True,89.3393639748758,2022-06-20,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,14,True,89.3393639748758,2022-06-20,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-07,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,16,True,89.3393639748758,2022-06-07,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-07,6,1,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,16,True,89.3393639748758,2022-06-07,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-07,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,16,True,89.3393639748758,2022-06-07,best_constant_price,1.0,0.0,80.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-17,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,17,True,93.26932573131452,2022-06-17,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-17,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,17,True,93.26932573131452,2022-06-17,myopic_grid_max_sl,1.0,0.0,
