true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-08,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,3,True,89.3393639748758,2022-06-08,best_constant_price,1.0,0.0,80.0
1403209.1631530663,-17.17908368469321,1.3499999999999999,-3499.999999999998,32.0,10000,2022-12-11,12,6,80.0,15000.0,100,192.542564800098,1.0,False,True,4,False,192.542564800098,2022-12-11,always_min_price_80,0.0,1.0,
1600841.1874151907,2.5841187415188642,1.3500000000000003,-3500.0000000000036,26.0,10000,2022-12-11,12,6,91.99999988079071,15000.0,100,192.542564800098,0.0,False,True,4,False,192.542564800098,2022-12-11,myopic_grid_max_sl,0.0,1.0,
1666854.0287373941,125.15746870439236,1.0922842981541043,-922.8429815410436,6.0,10000,2022-12-11,12,6,120.0,15000.0,100,192.542564800098,0.0,False,True,4,False,192.542564800098,2022-12-11,best_constant_price,0.0,1.0,120.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-21,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,5,True,89.3393639748758,2022-06-21,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-21,6,1,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,5,True,89.3393639748758,2022-06-21,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-21,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,5,True,89.3393639748758,2022-06-21,best_constant_price,1.0,0.0,80.0
1380867.5754316798,-12.663242456831853,1.3349999999999995,-3349.9999999999945,20.0,10000,2022-06-12,6,6,80.0,15000.0,100,154.00250483209075,1.0,False,True,6,False,154.00250483209075,2022-06-12,always_min_price_80,0.0,1.0,
1475964.0106415441,36.018410984332746,1.2479510890662702,-2479.510890662701,14.0,10000,2022-06-12,6,6,91.99999988079071,15000.0,100,154.00250483209075,0.0,False,True,6,False,154.00250483209075,2022-06-12,myopic_grid_max_sl,0.0,1.0,
1403360.2555085288,201.85032327447794,0.9746771201693493,253.2287983065071,,10000,2022-06-12,6,6,112.00000047683716,15000.0,100,154.00250483209075,0.0,False,True,6,False,154.00250483209075,2022-06-12,best_constant_price,0.0,0.0,112.0
1403209.1631530663,-17.17908368469321,1.3499999999999999,-3499.999999999998,32.0,10000,2022-12-11,12,6,80.0,15000.0,100,192.542564800098,1.0,False,True,7,False,192.542564800098,2022-12-11,always_min_price_80,0.0,1.0,
1600841.1874151907,2.5841187415188642,1.3500000000000003,-3500.0000000000036,26.0,10000,2022-12-11,12,6,91.99999988079071,15000.0,100,192.542564800098,0.0,False,True,7,False,192.542564800098,2022-12-11,myopic_grid_max_sl,0.0,1.0,
