policy,seed,dow,month,days_prior,price,selling_limit,accepted,show_ups,revenue
Joint BC to SAC + cap,4,6,12,72,118.07029724121094,13166.413605213165,97.80096200903444,2030.5188375774276,326450.7130354208
Joint BC to SAC + cap,4,6,12,71,117.94654369354248,13256.551325321198,105.71483850727918,2109.643837727402,338919.4128544754
Joint BC to SAC + cap,4,6,12,70,117.82381534576416,13310.85741519928,115.51491870837687,2196.739186922704,352529.82130605215
Joint BC to SAC + cap,4,6,12,69,117.69795417785645,13405.47651052475,119.87951215662792,2286.7093362228316,366639.39463472675
Joint BC to SAC + cap,4,6,12,68,117.58881568908691,13481.591045856476,113.5398963747213,2372.186294491483,379990.4165828919
Joint BC to SAC + cap,4,6,12,67,117.53623485565186,13549.0283370018,105.8220119614744,2452.8103201134904,392428.33743369335
Joint BC to SAC + cap,4,6,12,66,117.53434658050537,13602.973818778992,108.80715790280549,2533.3046559691643,405216.91564108146
Joint BC to SAC + cap,4,6,12,65,117.53763675689697,13665.682077407837,131.45576723017905,2632.122495895464,420667.91585938144
Joint BC to SAC + cap,4,6,12,64,117.59005069732666,13692.51012802124,105.47988351907789,2713.380490879326,433071.30070993793
Joint BC to SAC + cap,4,6,12,63,117.63012886047363,13748.905062675476,113.55081632514403,2800.20730727269,446428.2978664766
Joint BC to SAC + cap,4,6,12,62,117.62097358703613,13860.375881195068,109.56879757586269,2882.805991366161,459315.8865121104
Joint BC to SAC + cap,4,6,12,61,117.63811588287354,13955.916166305542,102.67620157709031,2958.6459255684676,471394.5214116495
Joint BC to SAC + cap,4,6,12,60,117.64931440353394,14060.66119670868,128.50993648285458,3056.007294449862,486513.627332899
Joint BC to SAC + cap,4,6,12,59,117.62704372406006,14112.210869789124,142.93617307780588,3167.5283350164686,503326.78681327193
Joint BC to SAC + cap,4,6,12,58,117.5369644165039,14158.632457256317,133.30304630671964,3270.1093624817813,518994.82222363644
Joint BC to SAC + cap,4,6,12,57,117.44199752807617,14200.11818408966,136.92753962027632,3374.211143801889,535075.8659932464
Joint BC to SAC + cap,4,6,12,56,117.32929229736328,14266.839921474457,130.15521461397674,3471.6579997194267,550346.8852127157
Joint BC to SAC + cap,4,6,12,55,117.24280834197998,14317.351579666138,137.72406176616235,3575.3217182990315,566494.040990445
Joint BC to SAC + cap,4,6,12,54,117.18730449676514,14371.6561794281,144.04420436666985,3684.592421579512,583374.1930285562
Joint BC to SAC + cap,4,6,12,53,117.1417760848999,14383.637309074402,154.17738149810995,3802.947969448178,601434.805329364
Joint BC to SAC + cap,4,6,12,52,117.04102516174316,14373.455345630646,145.71315596843678,3916.2231922336746,618489.2224834629
Joint BC to SAC + cap,4,6,12,51,116.92063570022583,14361.19794845581,150.57732865580383,4031.9150669169544,636094.8194719413
Joint BC to SAC + cap,4,6,12,50,116.7217206954956,14345.180988311768,153.18106201977955,4149.677397432445,653974.3766088535
Joint BC to SAC + cap,4,6,12,49,116.47027492523193,14343.854784965515,163.71356304430054,4277.035909327425,673042.1403056125
Joint BC to SAC + cap,4,6,12,48,116.20852470397949,14349.72196817398,158.63430345943829,4400.657203040341,691476.7986780772
Joint BC to SAC + cap,4,6,12,47,115.96922874450684,14382.597208023071,154.90719178916552,4521.184146847868,709441.2662368441
