policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,n_seasons,history
"fitted, 2 seasons, history 1",19,2484545.8385652285,3141676.73044228,2363.099015488805,461.277721948225,2,9528.0,89.51246329971083,7506.0,109.37662775849995,7002.0,80.0,2846.0,83.24332610107776,2005.0,80.0,471.0,80.0,2,1
"fitted, 2 seasons, history 1",20,2900834.368560409,3276642.683883421,1471.6268294553847,203.7073735798367,2,9807.0,88.5285392927354,7522.0,111.03596353323967,7808.0,80.0,2471.0,87.01553649181227,2320.0,80.0,614.0,80.0,2,1
"fitted, 2 seasons, history 1",21,3329348.4206094965,3397420.9112673067,7.489415979343903,166.436518654853,2,9782.0,94.37597420725814,7243.0,100.55861555323021,10005.0,82.69184146125218,2606.0,81.8594894247131,2246.0,80.37076813640705,542.0,80.49203932945139,2,1
"fitted, 2 seasons, history 1",22,926849.2310306947,2315397.7192896605,6942.742441294829,0.0,0,7308.0,80.0,8469.0,85.16208752977452,6021.0,80.0,1640.0,80.0,1293.0,80.0,244.0,80.0,2,1
"fitted, 2 seasons, history 1",23,2323521.766078593,3131488.239770094,2895.056436492082,572.3879659827107,2,9807.0,91.07249392719034,7996.0,110.17862266813964,6653.0,80.0,2721.0,84.02646544867581,1753.0,80.0,364.0,80.0,2,1
"fitted, 2 seasons, history 1",24,3480980.772210911,3493965.211215969,64.92219502529224,0.0,0,10029.0,94.13544622001679,7684.0,110.59888405865713,10015.0,80.57225420102439,2413.0,85.00869019800729,2199.0,80.73428771641103,529.0,80.5208152949472,2,1
"fitted, 2 seasons, history 1",25,2291621.157315117,3041590.8498688857,3749.848462768844,0.0,0,9661.0,90.00489930485874,7979.0,108.09895562231516,6332.0,80.0,2834.0,81.11714022127607,1620.0,80.0,350.0,80.0,2,1
"fitted, 2 seasons, history 1",26,1103881.2292695516,2500598.146690661,6688.585644208144,147.49947144870202,1,4884.0,80.0,8481.0,97.86088276036566,7242.0,80.0,1544.0,80.0,2419.0,80.0,277.0,80.0,2,1
"fitted, 2 seasons, history 1",27,3140230.8173521445,3436025.874623386,997.4214515895492,240.77691738332942,2,10340.0,93.15003748386522,8124.0,112.8385603578969,8662.0,80.0,2223.0,89.17537529812476,2221.0,80.19917031656993,459.0,80.22918632607055,2,1
"fitted, 2 seasons, history 1",28,1721182.4020953514,2697965.2166189402,4883.914072617944,0.0,0,8919.0,80.0,8326.0,94.2259448257195,6060.0,80.0,2372.0,80.0,1580.0,80.0,345.0,80.0,2,1
"fitted, 2 seasons, history 1",29,2575005.7059940486,3054690.5901046097,2278.511845484336,59.956287534234434,2,9532.0,83.96103994840341,7623.0,104.91065949316915,7441.0,80.0,2811.0,80.0,1939.0,80.0,414.0,80.0,2,1
"fitted, 5 seasons, history 1",0,3038957.3187638023,3303612.594342828,1323.2763778951285,0.0,0,9423.0,86.93605998032263,6755.0,119.36963058162141,8389.0,80.0,2906.0,83.09570656734257,2591.0,80.0,456.0,80.0,5,1
"fitted, 5 seasons, history 1",1,2837013.2598717893,3291091.149305925,2119.3880105865355,75.50071829207081,2,9418.0,95.03347963457826,7050.0,118.95939192560547,7352.0,80.0,3024.0,84.74241485316603,2145.0,80.0,473.0,80.0,5,1
"fitted, 5 seasons, history 1",2,2136467.9459337126,2906297.3799259216,3849.1471699610456,0.0,0,9585.0,84.77401159999889,7929.0,107.17851920039503,6082.0,80.0,2765.0,80.0,1526.0,80.0,295.0,80.0,5,1
"fitted, 5 seasons, history 1",3,3447956.8234147257,3478121.9880910683,150.82582338171233,0.0,0,10569.0,81.14529516976879,8289.0,119.49677814763106,10003.0,82.28880950972686,1754.0,88.97609112335331,2461.0,82.20468631879325,375.0,80.10134589195252,5,1
"fitted, 5 seasons, history 1",4,2784504.0023491587,3193372.9663950205,2044.3448202293075,0.0,0,9039.0,81.17592437286558,6659.0,119.3732073186557,7908.0,80.0,2856.0,82.63263278252103,2662.0,80.0,559.0,80.0,5,1
"fitted, 5 seasons, history 1",5,1813295.432926842,2707846.8434293335,4472.757052512457,0.0,0,7774.0,80.0,7840.0,98.04168921292519,7569.0,80.0,2031.0,80.0,1936.0,80.0,321.0,80.0,5,1
