policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
planner + pickup,17,2989769.2610189626,3389438.947955761,1998.3484346839923,0.0,0,9684.0,96.47494283166839,7222.0,117.71852653402432,8386.0,80.0,2766.0,85.30231434294303,2190.0,80.0,466.0,80.0
planner + pickup,18,1961254.9439110495,2832416.607541088,4139.769612396583,108.01935287680499,1,8585.0,80.0,8304.0,103.75445904130581,6489.0,80.0,2442.0,80.23625404008776,1804.0,80.24548639974942,348.0,80.0
planner + pickup,19,2525148.3206012594,3166233.194402652,2273.3693350172534,466.0275169948545,2,9080.0,91.86506156923684,6860.0,114.27244081333654,6995.0,80.0,3279.0,81.26097764173416,2086.0,80.0,508.0,80.0
planner + pickup,20,3027551.8182486882,3337349.6675687656,1194.8189953553374,177.08512562252508,2,9566.0,90.02405007600164,6943.0,118.48854913404038,7936.0,80.0,2665.0,87.32337859363818,2541.0,80.0,611.0,80.0
planner + pickup,21,3334466.1813335265,3436058.1491276436,176.83902124579436,165.56040886239498,2,9169.0,99.67112417868219,6184.0,106.98243419489164,9816.0,85.45178230109184,3078.0,80.16236897410317,2375.0,80.0,618.0,80.0
planner + pickup,22,886398.7921742011,2330966.6762912273,6654.952072167724,283.94367420870367,1,7140.0,80.0,9543.0,80.13482932947997,5948.0,80.0,1585.0,80.0,1306.0,80.0,236.0,80.0
planner + pickup,23,2353825.822240989,3146536.5953781083,2882.402382599923,540.5757415428361,2,9466.0,92.74622650568317,7520.0,114.69767735779602,6649.0,80.0,3053.0,82.34429766535955,1781.0,80.0,360.0,80.0
planner + pickup,24,3509162.8202693863,3531829.4678809866,113.33323805800137,0.0,0,9637.0,98.16608852066028,7043.0,116.24647065952693,9846.0,81.80711574605779,2659.0,85.83793123667739,2320.0,80.0,558.0,80.0
planner + pickup,25,2265891.4060870125,3024188.3920033276,3791.4849295815757,0.0,0,9557.0,89.80742232327346,7882.0,107.94651097761015,6389.0,80.0,2970.0,80.27347766570371,1572.0,80.0,315.0,80.0
planner + pickup,26,1054307.1332455373,2480681.0034792125,6746.307373612565,192.7809887779058,1,4850.0,80.0,8722.0,94.16659063049903,7232.0,80.0,1535.0,80.02605863192183,2331.0,80.05148005148006,308.0,80.0
planner + pickup,27,3326785.9820854105,3561046.2786547095,778.9322568691514,196.18461298867078,2,10521.0,97.23532874453358,8124.0,119.07445210216962,8709.0,80.0,1778.0,99.93501730439232,2361.0,81.61448846273329,555.0,80.0
planner + pickup,28,1740091.6648843377,2697471.9443146093,4786.901397151359,0.0,0,8931.0,80.0,8454.0,92.32457349356628,6066.0,80.0,2414.0,80.0,1608.0,80.0,307.0,80.0
planner + pickup,29,2580983.1341625797,3056216.9923874736,2259.1826199979914,58.49333556323836,2,9543.0,84.13140310513846,7575.0,104.7116848257607,7397.0,80.0,2806.0,80.0,1987.0,80.0,423.0,80.0
SAC,0,2471944.1277315207,3099749.908834696,2942.953222024016,98.03784174592874,1,9444.0,84.66479642266997,9122.0,100.59111230116198,8355.0,80.90121649154855,2191.0,85.17357193460643,1667.0,84.27791353965421,200.0,87.4010421037674
SAC,1,2232221.613150741,2990470.384428501,3791.2438563888,0.0,0,10307.0,86.22457685937378,9185.0,98.50356879582142,7004.0,82.13948996968435,2084.0,86.942811382366,1236.0,86.67914943594762,170.0,88.32334971427917
SAC,2,1785451.231471199,2804703.035649061,5096.25902088931,0.0,0,9908.0,84.71396093039826,9152.0,98.68382233852795,5896.0,81.83258307655437,2017.0,86.22584039111744,1146.0,84.64658185241527,144.0,87.66864154073927
SAC,3,3013238.643572772,3262448.154489994,1246.0475545861118,0.0,0,9954.0,83.53023163388957,9433.0,101.62822757560401,10632.0,81.32056102863015,1685.0,83.81225662344642,1685.0,83.69381828477898,164.0,87.8729284318482
SAC,4,2172932.7492221254,2972785.871088505,3999.2656093318974,0.0,0,8755.0,83.2185755262097,8551.0,100.32367075846051,7837.0,80.71086553114478,2207.0,84.19035607406225,1915.0,83.51213136416503,241.0,86.22515310885007
SAC,5,1608236.9567817603,2662986.180357933,5273.7461178808635,0.0,0,7714.0,81.50100831265952,8192.0,96.27572167664766,7384.0,80.86880033882183,1726.0,82.8208428407185,1915.0,81.33751150957909,200.0,85.0687499821186
SAC,6,2622991.528800646,3158138.5070753098,2675.7348913733204,0.0,0,10783.0,90.90836074470998,8251.0,98.29365387842476,9636.0,81.38889556222557,1556.0,89.36316985320923,1501.0,84.55103971575356,190.0,88.8928273100602
SAC,7,2049540.129818067,2891604.5239448547,4210.321970633939,0.0,0,9799.0,84.94157156027973,8751.0,98.20888130286941,6866.0,81.43158822947885,2000.0,86.46226195812226,1411.0,84.65083444735245,213.0,87.62622303246333
SAC,8,-386585.6380135217,2031248.6641001701,12089.17151056846,0.0,0,5767.0,87.92002354086593,7944.0,87.6264526416648,5249.0,86.3475057692227,1229.0,83.52346976468775,829.0,86.86344899515767,99.0,86.03031534137148
SAC,9,1658919.1367614719,2656988.8713252544,4990.348672818913,0.0,0,9515.0,83.03651633052155,7878.0,90.29058463184867,7549.0,81.64388006642127,1513.0,85.49670175614139,1500.0,82.01983079592387,126.0,91.23023859092167
