policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 2,1,2847360.222962055,3290171.0681819916,2110.2894257938315,51.88240015292649,2,9802.0,93.8510986607407,7559.0,115.4889821646658,7383.0,80.005959127228,2601.0,86.60473085925561,2131.0,80.28118240279471,473.0,80.26862393221946,2
dagger round 2,2,2041777.8143047977,2901927.4941003323,4300.748398977673,0.0,0,9136.0,87.72457407464496,7875.0,107.88731458981832,6171.0,80.00017276402907,2722.0,80.3047236381954,1553.0,80.00097061462426,298.0,80.00020874426669,2
dagger round 2,3,3376543.9092956586,3473464.0232765675,481.48596763706155,1.5573011337419302,1,10549.0,81.94733377745597,8621.0,116.76191911607783,9823.0,84.35770629428742,1765.0,88.03695421988836,2266.0,83.52504829179894,350.0,80.42416988100324,2
dagger round 2,4,2751032.2893419014,3168822.0206713676,2088.9486566473315,0.0,0,9129.0,80.60165063955395,6975.0,115.13107923111181,7879.0,80.01147579066507,2936.0,80.86971578627256,2556.0,80.28874242109872,476.0,80.01178868177558,2
dagger round 2,5,1902305.623039354,2745816.19648695,4217.55286723798,0.0,0,7797.0,80.04441904994147,7886.0,98.72808643246616,7558.0,80.00228314385208,2114.0,80.02064399202702,1983.0,80.01822792034947,345.0,80.00322784202686,2
dagger round 2,6,3046409.993582878,3340393.382539749,1357.6075156795487,56.154714552403675,1,10121.0,99.28639882143962,7018.0,104.47673431520415,9719.0,80.06063496640881,2553.0,83.10923990949294,1815.0,80.0072701824598,455.0,80.15130964478294,2
dagger round 2,7,2444078.3789249165,3036013.121601343,2959.6737133821343,0.0,0,9176.0,90.37381906221509,7625.0,105.33502411732908,7130.0,80.00047852564995,2894.0,80.18570383705595,1723.0,80.00132218876759,389.0,80.00049445806862,2
dagger round 2,8,303468.9566575964,2198289.008592367,9474.100259673854,0.0,0,6910.0,80.0069993798191,7785.0,87.25492385035535,5919.0,80.00004441155274,1462.0,80.00021583730643,1311.0,80.00006333641385,204.0,80.00000106937745,2
dagger round 2,9,2064074.2847655537,2744071.476993561,3399.985961140035,0.0,0,9581.0,80.42954162072692,7586.0,90.36741986803979,7585.0,80.00029115717743,2110.0,80.00577628499524,1613.0,80.00035390821364,356.0,80.0009977047363,2
dagger round 2,10,1514956.6654824112,2600036.7988038063,5425.400666606975,0.0,0,8048.0,80.04046963694437,8267.0,90.89740821826959,6870.0,80.00014787365777,2012.0,80.00430354126405,1656.0,80.00113009254713,283.0,80.00017575577375,2
dagger round 2,11,2926581.9094318105,3342834.2688930035,1841.0506200209138,120.10558864252562,2,9736.0,93.2269520750277,7488.0,116.23697758994551,7505.0,80.01101935600774,2614.0,87.76530231194543,2264.0,80.53604224598028,584.0,80.36944934562462,2
dagger round 2,12,3198802.8255162886,3390338.8600981236,406.93174770649057,275.37421260134215,2,9464.0,92.59899453134831,7095.0,115.58924504936036,8828.0,80.43372183065907,2561.0,87.00461671576747,2439.0,80.96323138966625,593.0,80.51213961226541,2
dagger round 2,13,3195971.9401370175,3369927.83290267,869.7794638282612,0.0,0,9466.0,80.22352850515243,8480.0,116.73750223781703,10173.0,83.56171998187385,1877.0,85.43963913340866,2131.0,85.80901938220919,350.0,80.06292362553732,2
dagger round 2,14,1870390.4128419491,2841785.8910644054,4856.977391112281,0.0,0,9678.0,86.531137020954,8530.0,99.84550047577615,6141.0,80.00012554673569,2373.0,80.01981547900608,1382.0,80.00018338563646,252.0,80.00013993846045,2
dagger round 2,15,1252173.0607881688,2537237.787451744,6425.323633317877,0.0,0,7517.0,80.02711339105994,8375.0,95.10803466213284,5868.0,80.00009382043311,2148.0,80.00477116756156,1607.0,80.00096934214095,287.0,80.0000265458735,2
dagger round 2,16,3057379.4200652055,3261204.2260861397,798.4276795796723,110.34817526249935,1,9113.0,86.96971321739089,6818.0,114.95533768628552,8435.0,80.103057450208,2626.0,85.15079716326895,2587.0,80.47073564107325,606.0,80.11379245877659,2
dagger round 2,17,3057575.7417272828,3416810.0859868526,1796.1717212978492,0.0,0,10008.0,95.021868711062,7797.0,115.49138330015843,8408.0,80.0308871277733,2583.0,85.66276392777945,2107.0,80.6604995674356,456.0,80.41522349181928,2
dagger round 2,18,2120466.800926885,2880919.0771770477,3802.2613812508134,0.0,0,8704.0,80.2261750515112,7809.0,109.92455282808496,6626.0,80.00029044373677,2555.0,80.11499931201077,1890.0,80.01052038505594,343.0,80.00027062594022,2
dagger round 2,19,2645494.6664158097,3120356.1679172516,2374.3075075072093,0.0,0,9143.0,91.64689529154633,6978.0,113.82265736104151,7060.0,80.00142763086487,2889.0,83.13255423284724,2030.0,80.0309969110442,492.0,80.01238232463356,2
dagger round 2,20,3016202.6268104636,3306754.0541541576,1299.5556119558623,76.60076238130387,1,9550.0,90.04960615260438,7136.0,115.7345424517321,7842.0,80.02215139888982,2554.0,86.70164207088453,2486.0,80.26810603667342,630.0,80.10576628503345,2
dagger round 2,21,3334177.8238695073,3390764.4856977463,180.70193210612706,51.11568851753327,1,9737.0,96.58526642288015,7146.0,102.29232031792577,10103.0,81.60614769977708,2539.0,83.08582197450755,2173.0,80.07398716875666,518.0,80.40834177184749,2
dagger round 2,22,812275.4533239524,2290837.2142374516,7392.808804567496,0.0,0,7320.0,80.01255728833662,7936.0,88.1480638691855,5988.0,80.00005185922625,1602.0,80.00053707059105,1296.0,80.00008711936297,262.0,80.00000369002801,2
dagger round 2,23,2452894.8795006876,3135389.4952249527,2892.5943863129432,259.9393461541913,2,9435.0,93.26576660597962,7551.0,115.0341330929444,6611.0,80.00061702951868,2871.0,83.94214138798662,1792.0,80.03678412775376,371.0,80.0292533395104,2
dagger round 2,24,3406107.0326297167,3475232.1959233284,262.48427981686837,41.570768325595054,1,10001.0,95.75786989875441,7761.0,109.14618009959372,9854.0,80.76431101685198,2437.0,85.02455711951743,2160.0,80.25757130925302,470.0,80.49667737331797,2
dagger round 2,25,2150937.710701723,2998097.8208756447,4235.800550869608,0.0,0,9354.0,91.27686034442779,7762.0,109.23274446366159,6366.0,80.00020867131096,2772.0,81.08608517725918,1621.0,80.0018272246938,326.0,80.00102065457888,2
dagger round 2,26,1163810.509966671,2500482.538024187,6683.36014028758,0.0,0,5037.0,80.00245852794158,7798.0,101.28491851283086,7355.0,80.003848990642,1622.0,80.00476130721896,2431.0,80.28929805520237,289.0,80.0000434887038,2
dagger round 2,27,3253168.8142892225,3493218.4744548798,935.2899269946956,132.4791869167966,2,10193.0,95.31945438388752,8049.0,116.83852294199599,8820.0,80.23785156011581,2243.0,90.73177423373004,2119.0,81.91422235127494,491.0,81.00539067369371,2
